movie_id,title,original_title,original_language,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,production_companies,production_countries,release_year,release_month,director,actors
10259,로망스,로망스,ko,2006-03-16,106,0,0,5.5,4,0.5061,"['드라마', '로맨스']","['LJ Film', 'CJ Entertainment']",['KR'],2006.0,3.0,Moon Seung-wook,"Cho Jae-hyun, Kim Ji-soo, Jang Hyun-sung, Ki Joo-bong, Yoon Je-moon"
11344,달콤한 인생,달콤한 인생,ko,2005-04-01,120,0,7600000,7.446,925,3.1818,"['액션', '드라마', '범죄']","['Bom Film Productions', 'CJ Entertainment']",['KR'],2005.0,4.0,Kim Jee-woon,"Lee Byung-hun, Kim Yeong-cheol, Shin Min-a, Kim Roi-ha, Lee Ki-young"
11658,태극기 휘날리며,태극기 휘날리며,ko,2004-02-05,148,1500000,0,7.993,722,1.5857,"['액션', '모험', '드라마', '역사', '전쟁']","['Kang Je-gyu Films', 'KD Media', 'Seoul Broadcasting System', 'Tooniverse', 'Destination Films', 'Samuel Goldwyn Films', 'Showbox']","['KR', 'US']",2004.0,2.0,Kang Je-kyu,"Jang Dong-gun, Won Bin, Lee Eun-ju, Gong Hyung-jin, Lee Young-ran"
13311,홀리데이,홀리데이,ko,2006-01-19,120,0,0,6.4,34,1.0497,"['드라마', '범죄', '스릴러']",['Lotte Entertainment'],['KR'],2006.0,1.0,Yun-ho Yang,"Lee Sung-jae, Choi Min-soo, Jang Se-jin, Lee Eol, Moon Young-dong"
13407,파랑주의보,파랑주의보,ko,2005-12-22,95,0,0,6.6,35,1.3986,"['드라마', '로맨스']","['iFilm', 'iLoveCinema']",['KR'],2005.0,12.0,Jeon Yun-su,"Song Hye-kyo, Cha Tae-hyun, Lee Soon-jae, Kim Hae-sook, Song Chang-eui"
13855,추격자,추격자,ko,2008-02-14,123,2600000,0,7.749,1408,4.5338,"['범죄', '스릴러', '액션']",['Bidangil Pictures'],['KR'],2008.0,2.0,Na Hong-jin,"Kim Yun-seok, Ha Jung-woo, Seo Young-hee, Kim You-jung, Jeong In-gi"
14763,무영검,무영검,ko,2005-11-18,104,0,3868257,6.235,66,1.7549,"['액션', '모험']","['Taewon Entertainment', 'CJ Entertainment', 'Yedang Entertainment', 'China Film Co-Production Corp.', 'New Line Cinema']","['CN', 'KR']",2005.0,11.0,Kim Young-jun,"Lee Seo-jin, Yoon Soy, Lee Ki-Yong, Shin Hyun-joon, Park Sung-woong"
14968,웰컴 투 동막골,웰컴 투 동막골,ko,2005-08-04,133,8000000,33579813,7.445,190,1.2664,"['코미디', '드라마', '전쟁']","['Film It Suda', 'Showbox']",['KR'],2005.0,8.0,Bae Jong,"Jung Jae-young, Shin Ha-kyun, Kang Hye-jung, Steve Taschler, Im Ha-ryong"
15067,"좋은 놈, 나쁜 놈, 이상한 놈","좋은 놈, 나쁜 놈, 이상한 놈",ko,2008-07-16,139,10000000,0,7.2,754,2.4693,"['액션', '모험', '코미디', '서부']","['CJ Entertainment', 'Cineclick Asia', 'Barunson E&A', 'Dark Circle Pictures']",['KR'],2008.0,7.0,Kim Jee-woon,"Song Kang-ho, Lee Byung-hun, Jung Woo-sung, Yoon Je-moon, Ryu Seung-su"
15286,마린보이,마린보이,ko,2009-02-05,118,0,3923970,5.6,24,1.5582,"['액션', '스릴러']","['Realies Pictures', 'CJ Entertainment']",['KR'],2009.0,2.0,Yoon Jong-seok,"Kim Kang-woo, Cho Jae-hyun, Park Si-yeon, Kim Joon-bae, Jang Hye-jin"
16882,GP506,GP506,ko,2008-04-03,121,0,0,5.5,63,0.7586,"['공포', '미스터리']","['Motis Productions', 'Lotte Entertainment', 'Michigan Venture Capital', 'Boston Investments', 'Showbox']",['KR'],2008.0,4.0,Kong Su-chang,"Cheon Ho-jin, Jo Hyun-jae, Lee Young-hoon, Lee Jeong-heon, Yu Tae-seong"
17593,영화는 영화다,영화는 영화다,ko,2008-09-11,112,0,0,6.9,86,1.5448,"['액션', '범죄', '드라마']","['Sponge', 'Kim Ki Duk Film', 'Seoul Broadcasting System', 'CJ Entertainment', 'Tube Entertainment', 'Showbox']",['KR'],2008.0,9.0,Jang Hoon,"So Ji-sub, Kang Ji-hwan, Hong Soo-hyun, Ko Chang-seok, Kong Jeong-hwan"
17693,가벼운 잠,가벼운 잠,ko,2008-10-23,93,0,0,6.6,5,0.2772,['드라마'],['Kino-Eye Films'],['KR'],2008.0,10.0,Seo Min-yeong,"Lee Ah-jin, Hong Ah-reum, Lim Hyung-kook, Park In-Soo, Jeong In-gi"
17903,쌍화점,쌍화점,ko,2008-12-30,132,10000000,18980744,6.899,148,4.6242,['드라마'],"['Opus Pictures', 'Showbox', 'United Pictures', 'Sponge']",['KR'],2008.0,12.0,Yoo Ha,"Zo In-sung, Ju Jin-mo, Song Ji-hyo, Shim Ji-ho, Seo Young-joo"
18374,7급 공무원,7급 공무원,ko,2009-04-04,112,0,0,6.214,98,0.7516,"['액션', '코미디', '로맨스']","['DCG Plus', 'Soojak Film', 'Lotte Entertainment', 'Harimao Pictures', 'Sponge']",['KR'],2009.0,4.0,Shin Terra,"Kim Ha-neul, Kang Ji-hwan, Ryu Seung-ryong, Jang Young-nam, Kang Shin-il"
18377,미녀는 괴로워,미녀는 괴로워,ko,2006-12-14,120,4000000,0,6.8,328,2.844,"['드라마', '코미디', '로맨스']","['KM Culture', 'Realies Pictures', 'Michigan Venture Capital', 'Showbox']",['KR'],2006.0,12.0,Kim Yong-hwa,"Ju Jin-mo, Kim A-joong, Sung Dong-il, Kim Hyun-sook, Im Hyun-sik"
18383,청춘만화,청춘만화,ko,2006-03-26,116,0,0,6.1,16,0.3993,"['코미디', '로맨스']","['Popcorn Film', 'Showbox']",['KR'],2006.0,3.0,Lee Han,"Kim Ha-neul, Kwon Sang-woo, Jang Mi-Inae, Lee Sang-woo, Park Ji-bin"
18384,과속스캔들,과속스캔들,ko,2008-12-03,108,0,0,7.183,93,1.3851,"['코미디', '드라마']","['M-Line Distribution', 'DCG Plus', 'Lotte Entertainment', 'CJ Entertainment', 'Toilet Pictures']",['KR'],2008.0,12.0,Kang Hyoung-chul,"Cha Tae-hyun, Park Bo-young, Wang Seok-hyeon, Hwang Woo-seul-hye, Im Ji-gyu"
18422,새드무비,새드무비,ko,2005-10-20,108,0,0,6.6,65,1.5565,"['코미디', '드라마', '로맨스']","['iFilm', 'iLoveCinema', 'Lotte Entertainment']",['KR'],2005.0,10.0,Kwon Jong-kwan,"Jung Woo-sung, Lim Soo-jung, Cha Tae-hyun, Son Tae-young, Yum Jung-ah"
18426,데이지,데이지,ko,2006-03-09,110,0,0,7.151,96,0.9865,"['드라마', '로맨스', '액션']","['iLoveCinema', 'iFilm', 'Showbox', 'Basic Pictures']","['HK', 'KR']",2006.0,3.0,Andrew Lau,"Jun Ji-hyun, Jung Woo-sung, Lee Sung-jae, Cheon Ho-jin, David Chiang Da-Wei"
18431,우리 생애 최고의 순간,우리 생애 최고의 순간,ko,2008-01-10,124,0,0,6.6,17,0.643,['드라마'],"['Myung Films', 'Sidus', 'MK Pictures', 'Sidus FNH-Benex Cinema Fund 1', 'KD Media', 'Pancinema', 'Korean Film Council', 'OCN']",['KR'],2008.0,1.0,Yim Soon-rye,"Moon So-ri, Kim Jung-eun, Uhm Tae-woong, Kim Ji-young, Cho Eun-ji"
18438,김씨 표류기,김씨 표류기,ko,2009-05-14,116,0,0,7.94,699,2.5468,"['드라마', '코미디', '로맨스']","['Cinema Service', 'CJ Entertainment', 'Banzakbanzak Film Production']",['KR'],2009.0,5.0,Lee Hae-jun,"Jung Jae-young, Jung Ryeo-won, Yang Mi-kyung, Lee Sang-hun, Jang So-yeon"
18464,6년째 연애중,6년째 연애중,ko,2008-02-05,112,0,0,6.231,13,0.6967,"['로맨스', '드라마']","['Picasso Films', 'KTB Network', 'Tube Entertainment']",['KR'],2008.0,2.0,Park Hyun-jin,"Kim Ha-neul, Yoon Kye-sang, Shin Sung-rok, Kim Hye-ok, Lee Dae-yeon"
18514,두번째 사랑,두번째 사랑,ko,2007-06-20,90,3500000,689473,6.6,44,1.646,"['드라마', '로맨스']","['NOWFILM', 'Vox3 Films']","['KR', 'US']",2007.0,6.0,Gina Kim,"Vera Farmiga, Ha Jung-woo, David Lee McInnis, Shirley Roeca, Marceline Hugot"
18526,바보,바보,ko,2008-02-28,99,0,0,6.727,33,2.0401,"['코미디', '로맨스']","['CJ Entertainment', 'Wire to Wire Film']",['KR'],2008.0,2.0,Kim Jeong-kwon,"Cha Tae-hyun, Ha Ji-won, Park Hee-soon, Park Ha-seon, Park Gri-na"
18791,핸드폰,핸드폰,ko,2009-02-19,137,0,0,6.5,17,1.3994,"['스릴러', '드라마']","['SK Telecom', 'Fineworks', 'M-Line Distribution']",['KR'],2009.0,2.0,Kim Han-min,"Uhm Tae-woong, Park Yong-woo, Park Sol-mi, Hwang Bo-yeon, Lee Se-na"
19482,멋진 하루,멋진 하루,ko,2008-09-25,123,0,0,6.8,24,0.5602,"['코미디', '로맨스', '드라마']","['Bom Film Productions', 'Lotte Entertainment', 'Sponge', 'Finecut']",['KR'],2008.0,9.0,Lee Yoon-ki,"Jeon Do-yeon, Ha Jung-woo, Kim Hye-ok, Oh Ji-eun, Choi Il-hwa"
19529,작전,작전,ko,2009-02-12,119,0,0,5.7,13,1.8797,"['범죄', '모험', '스릴러', '액션']","['Bidangil Pictures', 'Sponge', 'Showbox']",['KR'],2009.0,2.0,Lee Ho-jae,"Park Yong-ha, Kim Min-jung, Park Hee-soon, Kim Moo-yul, Jun Kim"
19591,구세주,구세주,ko,2006-02-16,104,0,0,5.8,9,2.1368,"['액션', '코미디']","['Show East', 'Ik Young Films']",['KR'],2006.0,2.0,Jeong-woo Kim,"Choi Sung-kook, Shin Yi, Baek Il-seob, Park Won-sook, Jo Sang-ki"
19609,투사부일체,투사부일체,ko,2006-01-19,124,0,30585589,5.3,20,2.2665,"['액션', '코미디', '범죄']","['Cinema Zenith Entertainment', 'CJ Entertainment']",['KR'],2006.0,1.0,Kim Dong-won,"Jung Jun-ho, Jung Woong-in, Jung Woon-taek, Kim Sang-joong, Kang Sung-pil"
19613,유감스러운 도시,유감스러운 도시,ko,2009-01-22,121,0,7545744,5.1,5,1.7787,['코미디'],[],['KR'],2009.0,1.0,Kim Dong-won,"Jung Jun-ho, Jung Woong-in, Jung Woon-taek, Han Go-eun, Kim Sang-joong"
19627,무림여대생,무림여대생,ko,2008-06-26,118,7000000,162256,6.519,27,1.6496,"['코미디', '로맨스']","['Bear Entertainment', 'Prime Entertainment']",['KR'],2008.0,6.0,Kwak Jae-yong,"On Ju-wan, Shin Min-a, Yoo Gun, Jung Ho-bin, Im Ye-jin"
19886,다찌마와 리: 악인이여 지옥행 급행열차를 타라,다찌마와 리: 악인이여 지옥행 급행열차를 타라,ko,2008-08-13,99,0,0,5.7,17,1.5142,"['액션', '모험', '코미디', '서부']","['Showbox', 'Filmmaker R&K']",['KR'],2008.0,8.0,Ryoo Seung-wan,"Im Won-hee, Gong Hyo-jin, Park Si-yeon, Hwang Bo-ra, Ryoo Seung-bum"
20605,짝패,짝패,ko,2006-05-25,92,2700000,0,6.575,140,1.1625,"['액션', '스릴러', '범죄']","['CJ Entertainment', 'Filmmaker R&K']",['KR'],2006.0,5.0,Ryoo Seung-wan,"Jung Doo-hong, Ryoo Seung-wan, Lee Beom-soo, Jeong Seok-yong, An Kil-kang"
20969,작업의 정석,작업의 정석,ko,2005-12-21,100,0,0,6.0,48,2.1234,"['로맨스', '코미디']","['Chungeorahm Film', 'Showbox']",['KR'],2005.0,12.0,Oh Ki-hwan,"Son Ye-jin, Song Il-gook, Ahn Sun-Young, Woo Hyeon, Jung Sung-il"
21647,색즉시공 시즌 2,색즉시공 시즌 2,ko,2007-12-12,115,0,0,5.783,60,3.3045,"['로맨스', '코미디']","['CJ Entertainment', 'Doosaboo Film']",['KR'],2007.0,12.0,Yoon Tae-yoon,"Im Chang-jung, Song Ji-hyo, Choi Sung-kook, Shin Yi, Lee Sang-yun"
21795,두 사람이다,두 사람이다,ko,2007-08-22,85,0,1820534,5.5,39,0.9574,"['공포', '스릴러', '범죄']","['Happy End Filmproductions', 'Mogabi Pictures']",['KR'],2007.0,8.0,Oh Ki-hwan,"Yoon Jin-seo, Lee Ki-woo, Park Ki-woong, Kim Min-kyung, Yeon Je-wook"
21797,가발,가발,ko,2005-08-12,106,0,2146621,5.468,63,1.5336,"['공포', '미스터리']","['Corea Entertainment', 'CJ Entertainment']",['KR'],2005.0,8.0,Won Shin-yeon,"Chae Min-seo, Yu Seon, Bang Moon-soo, Sa Hyeon-jin, Kim Soy"
22510,누가 그녀와 잤을까?,누가 그녀와 잤을까?,ko,2006-11-16,109,0,0,5.1,27,2.6183,"['코미디', '로맨스']","['CJ Entertainment', 'Taewon Entertainment']",['KR'],2006.0,11.0,Kim Yoo-sung,"Kim Sa-rang, Park Jun-gyu, Haha, Ha Seok-jin, Lee Hyeok-jae"
22520,아치와 씨팍,아치와 씨팍,ko,2006-06-28,90,3500000,0,6.297,59,2.0976,"['액션', '애니메이션', 'SF', '코미디', '모험']","['J Team', 'Tube Entertainment', 'OCN', 'KTB Network']",['KR'],2006.0,6.0,Jo Beom-jin,"Ryoo Seung-bum, Hyun Young, Shin Hae-chul, Im Chang-jung"
22536,박쥐,박쥐,ko,2009-04-30,133,5000000,13085023,7.097,979,3.2794,"['드라마', '공포', '스릴러']",['Moho Film'],['KR'],2009.0,4.0,Park Chan-wook,"Song Kang-ho, Kim Ok-vin, Kim Hae-sook, Shin Ha-kyun, Park In-hwan"
24037,무방비 도시,무방비 도시,ko,2008-01-10,112,0,11095236,6.9,41,1.7319,"['액션', '범죄']","['DCG Plus', 'CJ Entertainment', 'iVision Entertainment']",['KR'],2008.0,1.0,Lee Sang-gi,"Son Ye-jin, Kim Myung-min, Kim Hae-sook, Kim Joon-bae, Park Sung-woong"
24822,세븐 데이즈,세븐 데이즈,ko,2007-11-14,125,0,0,6.7,58,1.5771,"['범죄', '스릴러']",['Prime Entertainment'],['KR'],2007.0,11.0,Won Shin-yeon,"Yunjin Kim, Kim Mi-sook, Park Hee-soon, Choi Moo-seong, Jang Hang-seon"
25162,초감각 커플,초감각 커플,ko,2008-11-27,85,0,0,6.2,5,1.2972,"['코미디', '미스터리', '로맨스', '판타지']",[],['KR'],2008.0,11.0,Kim Hyung-joo,"Jin Goo, Park Bo-young, Kim Kyung-sik"
25597,헨젤과 그레텔,헨젤과 그레텔,ko,2007-12-27,116,4000000,2206625,6.7,175,1.5263,"['판타지', '드라마', '공포']","['Barunson E&A', 'Cineclick Asia', 'CJ Entertainment']",['KR'],2007.0,12.0,Yim Pil-sung,"Chun Jung-myung, Eun Won-jae, Shim Eun-kyung, Jin Ji-hee, Park Hee-soon"
25647,숨,숨,ko,2007-04-26,84,342,0,6.678,107,0.9937,"['범죄', '드라마']","['Kim Ki Duk Film', 'Cineclick Asia']",['KR'],2007.0,4.0,Kim Ki-duk,"Chang Chen, Ha Jung-woo, Park Ji-a, Kang In-Hyung, Kim Ki-duk"
25648,시간,시간,ko,2006-08-24,97,0,14742,6.9,227,1.7596,"['로맨스', '드라마', '미스터리']","['Happinet Pictures', 'Kim Ki Duk Film']","['JP', 'KR']",2006.0,8.0,Kim Ki-duk,"Sung Hyun-ah, Ha Jung-woo, Park Ji-yeon, Kim Sung-min, Kiki Sugino"
25695,나무없는 산,나무없는 산,ko,2009-08-27,89,0,0,6.974,39,0.8641,['드라마'],"['Soandbrad', 'Parts & Labor', 'Oscilloscope']","['KR', 'US']",2009.0,8.0,So Yong Kim,"Kim Hee-yeon, Kim Seong-hee, Kim Mi-hyang, Lee Soo-ah"
25747,아름답다,아름답다,ko,2008-02-14,87,0,0,6.1,26,0.7107,"['드라마', '스릴러', '미스터리']","['Kim Ki Duk Film', 'Sponge']",['KR'],2008.0,2.0,Juhn Jai-hong,"Lee Chun-hee, Cha Soo-yeon, Choi Moo-seong, Kim Min-Soo, Lee Min"
25764,다세포 소녀,다세포 소녀,ko,2006-08-10,111,0,0,5.204,27,1.1113,"['로맨스', '코미디']","['Lotte Entertainment', 'Ahnsworld', 'Mirovision']",['KR'],2006.0,8.0,E J-yong,"Kim Ok-vin, Park Jin-woo, Lee Kyeon, Song Ha-yoon, Yoo Gun"
25912,사과,사과,ko,2008-10-16,118,0,0,6.545,11,0.7234,"['드라마', '로맨스']",[],['KR'],2008.0,10.0,Kang Yi-kwan,"Moon So-ri, Kim Tae-woo, Lee Sun-kyun, Ju Jin-mo, Kang Rae-yeon"
25937,그해 여름,그해 여름,ko,2006-11-30,121,0,0,6.861,36,1.6723,"['드라마', '로맨스']","['KM Culture', 'Showbox', 'Seoul Broadcasting System', 'OCN']",['KR'],2006.0,11.0,Joh Keun-shik,"Lee Byung-hun, Soo Ae, Lee Se-eun, Lee Hae-eun, Choi Deok-moon"
25938,"달콤, 살벌한 연인","달콤, 살벌한 연인",ko,2006-04-06,110,0,0,5.8,24,1.2544,"['드라마', '코미디', '범죄', '로맨스']","['CJ Entertainment', 'Sidus', 'MBC']",['KR'],2006.0,4.0,Son Jae-gon,"Park Yong-woo, Choi Kang-hee, Cho Eun-ji, Jung Kyung-ho, Lee Hee-do"
26002,인사동 스캔들,인사동 스캔들,ko,2009-04-29,109,0,0,6.0,8,0.9889,"['범죄', '스릴러']","['SK Telecom', 'iVision Entertainment', 'Showbox', 'kth']",['KR'],2009.0,4.0,Park Hee-kon,"Kim Rae-won, Uhm Jung-hwa, Hong Soo-hyun, Don Lee, Oh Jung-se"
26134,잔혹한 출근,잔혹한 출근,ko,2006-11-02,108,0,0,5.6,5,1.0859,['범죄'],[],['KR'],2006.0,11.0,Kim Tae-yun,"Kim Soo-ro, Lee Sun-kyun, Go Eun-ah, Kang Kyung-hun, Oh Man-seok"
26138,형사,형사,ko,2005-09-08,111,0,0,6.4,56,1.2245,['액션'],"['프로덕션M', 'Michigan Venture Capital', 'Korea Pictures', 'Wellmade Entertainment']",['KR'],2005.0,9.0,Lee Myung-se,"Ha Ji-won, Gang Dong-won, Ahn Sung-ki, Song Young-chang, Yoon Joo-Sang"
26781,거북이 달린다,거북이 달린다,ko,2009-06-11,117,0,0,6.5,36,1.0754,"['스릴러', '코미디', '범죄', '드라마']","['Cine2000', 'Showbox', 'CJ Entertainment']",['KR'],2009.0,6.0,Lee Yeon-woo,"Kim Yun-seok, Jung Kyung-ho, Kyeon Mi-ri, Sun Woo-sun, Kim Ji-na"
26859,검은 땅의 소녀와,검은 땅의 소녀와,ko,2007-01-09,90,0,0,6.5,11,0.7637,['드라마'],['Dongnyuk Film'],"['KR', 'FR']",2007.0,1.0,Jeon Soo-il,"Yoo Yeon-mi, Hyeon-woo Park, Jo Young-jin, Jin-Taek Im, Ji-Hyeon Son"
27428,스승의 은혜,스승의 은혜,ko,2006-08-03,93,0,0,6.7,119,1.166,"['미스터리', '공포', '스릴러']","['Fineworks', 'Show East', 'Ozone Film']",['KR'],2006.0,8.0,Lim Dae-wung,"Oh Mi-hee, Seo Young-hee, Jang Seong-won, Kim Eung-soo, Kim Young-sun"
27516,극락도 살인사건,극락도 살인사건,ko,2007-04-12,110,0,14249906,6.6,35,1.7933,"['스릴러', '미스터리']","['Myung Films', 'DCG Plus', 'MK Pictures', 'KD Media', 'OCN', 'Pancinema', 'DOO ENTERTAINMENT COMPANY']",['KR'],2007.0,4.0,Kim Han-min,"Park Hae-il, Park Sol-mi, Sung Ji-ru, Park Won-sang, Choi Joo-bong"
29976,못말리는 결혼,못말리는 결혼,ko,2007-05-10,115,0,0,6.1,8,1.6377,['코미디'],[],['KR'],2007.0,5.0,Kim Sung-wook,"Ha Seok-jin, Eugene, Kim Soo-mi, Lee Jae-gu, Lim Chae-mu"
30018,마더,마더,ko,2009-05-28,128,5000000,17112713,7.71,1578,3.2601,"['범죄', '드라마', '미스터리']","['Barunson E&A', 'CJ Entertainment']",['KR'],2009.0,5.0,Bong Joon Ho,"Kim Hye-ja, Won Bin, Jin Goo, Yoon Je-moon, Jeon Mi-seon"
30043,녹색의자,녹색 의자,ko,2005-06-10,98,0,2000000,6.2,32,5.2142,"['로맨스', '드라마']",['Park Cheol-su Films'],['KR'],2005.0,6.0,Park Cheol-su,"Suh Jung, Shim Ji-ho, Oh Youn-hong, Kim Hye-ok, Kim Jeon-han"
30841,"두뇌유희프로젝트, 퍼즐","두뇌유희프로젝트, 퍼즐",ko,2006-09-14,91,0,0,5.2,8,0.6925,"['액션', '스릴러', '범죄']",['Noon Entertainment'],['KR'],2006.0,9.0,Kim Tae-kyung,"Ju Jin-mo, Moon Sung-keun, Hong Seok-cheon, Hyun Sung, Park Jun-seok"
30843,서양골동양과자점 앤티크,서양골동양과자점 앤티크,ko,2008-11-13,109,0,0,6.3,62,1.084,"['코미디', '드라마', '로맨스']","['Zip Cinema', 'Opus Pictures', 'Soo Film', 'Sponge', 'Finecut', 'Michigan Venture Capital', 'Showbox', 'United Pictures']",['KR'],2008.0,11.0,Min Kyu-dong,"Ju Ji-hoon, Kim Jae-uck, Yoo Ah-in, Choi Ji-ho, Andy Gillet"
31184,1724 기방난동사건,1724 기방난동사건,ko,2008-12-03,103,0,0,5.25,8,0.9439,"['액션', '모험', '코미디']","['Sidus', ""Actor's Ville"", 'Golden Network Asia']","['HK', 'KR']",2008.0,12.0,Yeo Kyun-dong,"Lee Jung-jae, Kim Ok-vin, Yeo Kyun-dong, Kim Suk-hoon, Jang Se-jin"
31714,그림자 살인,그림자 살인,ko,2009-02-16,111,0,10000000,6.3,46,1.0225,"['미스터리', '범죄', '스릴러']","['CJ Entertainment', 'Stone Comics Entertainment']",['KR'],2009.0,2.0,Park Dae-min,"Hwang Jung-min, Ryu Deok-hwan, Uhm Ji-won, Oh Dal-su, Yoon Je-moon"
31850,똥파리,똥파리,ko,2009-04-16,130,0,0,7.206,124,1.3402,"['범죄', '드라마']","['Studio Nurimbo', 'Jinjin Pictures']",['KR'],2009.0,4.0,Yang Ik-june,"Yang Ik-june, Kim Kkob-bi, Lee Hwan, Park Jeong-soon, Lee Seung-yeon"
32149,원스 어폰 어 타임,원스 어폰 어 타임,ko,2008-01-31,110,0,0,6.0,31,0.613,"['모험', '액션', '코미디']","['IM Pictures', 'Mirovision']",['KR'],2008.0,1.0,Jeong Yong-ki,"Lee Bo-young, Park Yong-woo, Kim Su-hyun, Sung Dong-il, Kim Eung-soo"
32152,아파트,아파트,ko,2006-07-06,90,0,0,5.8,55,0.6966,"['공포', '스릴러']","['Toilet Pictures', 'IM Pictures', 'Mirovision', 'Showbox']",['KR'],2006.0,7.0,Ahn Byeong-ki,"Ko So-young, Kang Seong-jin, Jang Hee-jin, Park Ha-seon, Kim Ha-eun"
32157,한반도,한반도,ko,2006-07-13,147,0,0,6.3,29,0.9677,"['미스터리', '스릴러', '역사']","['Cinema Service', 'CJ Entertainment']",['KR'],2006.0,7.0,Kang Woo-suk,"Cho Jae-hyun, Cha In-pyo, Ahn Sung-ki, Moon Sung-keun, Kang Shin-il"
32158,중천,중천,ko,2006-12-20,102,0,0,5.871,62,1.5121,['판타지'],['Nabu Films'],['KR'],2006.0,12.0,Jo Dong-oh,"Jung Woo-sung, Kim Tae-hee, Park Sang-wook, Kim Kwang-il, Park Jeong-hak"
32159,사생결단,사생결단,ko,2006-04-27,116,0,0,6.25,46,2.183,"['액션', '범죄', '스릴러']","['Myung Films', 'MK Pictures', 'Pancinema', 'KD Media']",['KR'],2006.0,4.0,Choi Ho,"Ryoo Seung-bum, Hwang Jung-min, Kim Hee-ra, Choo Ja-hyun, Lee Do-gyeong"
32160,야수,야수,ko,2006-01-13,124,0,0,6.2,39,1.6948,"['액션', '범죄', '스릴러']","['Popcorn Film', 'Showbox']",['KR'],2006.0,1.0,Kim Sung-soo,"Kwon Sang-woo, Yoo Ji-tae, Son Byung-ho, Uhm Ji-won, Lee Han-wi"
